Estado,Clave municipal,Municipio,  PM10,  PM2.5,  SO2,  CO,  NOX,  COV,  NH3
Chiapas,07035,Frontera Hidalgo, 127.48 , 102.74 , 3.30 ," 1,009.42 ", 346.07 , 927.91 , 63.66 
Chiapas,07036,La Grandeza, 45.28 , 38.48 , 1.18 , 368.67 , 87.11 , 254.80 , 39.36 
Chiapas,07037,Huehuetán, 214.89 , 187.38 , 10.42 ," 2,564.38 "," 1,665.49 "," 3,732.32 ", 198.69 
Chiapas,07038,Huixtán, 141.91 , 123.36 , 3.85 ," 1,160.64 "," 1,296.76 "," 3,096.14 ", 125.77 
Chiapas,07039,Huitiupán, 182.27 , 147.52 , 4.38 ," 1,342.30 ", 752.05 ," 11,137.83 ", 199.92 
Chiapas,07040,Huixtla," 2,557.03 "," 1,593.02 ", 109.49 ," 5,430.56 "," 1,901.53 "," 4,849.08 ", 357.46 
Chiapas,07041,La Independencia, 361.50 , 297.19 , 9.21 ," 3,254.48 "," 1,129.64 "," 16,241.00 ", 447.41 
Chiapas,07042,Ixhuatán, 61.20 , 53.29 , 1.61 , 525.63 , 309.84 ," 3,447.68 ", 72.74 
Chiapas,07043,Ixtacomitán, 47.09 , 39.94 , 1.47 , 579.44 , 414.33 ," 2,418.47 ", 57.04 
Chiapas,07044,Ixtapa, 156.97 , 136.67 , 4.53 ," 1,431.16 ", 426.52 ," 1,457.30 ", 101.17 
Chiapas,07045,Ixtapangajoya, 34.09 , 28.56 , 1.01 , 303.92 , 338.81 ," 1,936.25 ", 42.80 
Chiapas,07046,Jiquipilas, 498.49 , 405.16 , 28.48 ," 5,027.62 "," 2,504.99 "," 11,613.15 ", 203.93 
Chiapas,07047,Jitotol, 131.63 , 114.32 , 4.13 ," 1,188.38 ", 396.71 ," 4,614.46 ", 119.02 
Chiapas,07048,Juárez, 108.72 , 75.99 , 4.33 ," 1,665.03 "," 2,609.65 "," 7,535.40 ", 152.99 
Chiapas,07049,Larráinzar, 143.22 , 122.95 , 3.76 ," 1,308.45 ", 348.00 ," 7,469.46 ", 112.06 
Chiapas,07050,La Libertad, 68.24 , 43.36 , 1.33 , 455.84 , 904.42 ," 2,142.47 ", 121.61 
Chiapas,07051,Mapastepec, 265.57 , 299.93 , 8.96 ," 3,685.73 "," 2,599.07 "," 26,207.44 ", 306.12 
Chiapas,07052,Las Margaritas, 807.85 , 652.17 , 20.92 ," 6,728.77 "," 5,038.31 "," 92,144.84 "," 1,319.66 "
Chiapas,07053,Mazapa de Madero, 49.07 , 42.59 , 1.64 , 514.64 , 190.54 ," 1,552.77 ", 23.96 
Chiapas,07054,Mazatán, 296.61 , 223.73 , 10.58 ," 2,402.63 "," 1,092.50 "," 3,331.24 ", 146.66 
Chiapas,07055,Metapa, 30.03 , 25.22 , 0.77 , 195.04 , 94.66 , 277.70 , 23.29 
Chiapas,07056,Mitontic, 72.17 , 64.06 , 1.93 , 580.41 , 120.34 ," 2,186.97 ", 75.79 
